SensorName,Value
Sensor_67806,60.17
Sensor_37768,57.79
Sensor_44995,12.67
Sensor_39302,57.82
Sensor_88363,28.22
Sensor_31391,53.27
Sensor_64108,36.43
Sensor_02463,80.23
Sensor_71785,52.69
Sensor_33914,88.81
Sensor_57315,68.69
Sensor_56270,46.75
Sensor_31873,63.09
Sensor_83599,38.18
Sensor_56252,28.81
Sensor_34365,46.62
Sensor_15071,64.35
Sensor_76678,83.22
Sensor_25313,47.09
Sensor_30731,25.2
Sensor_83597,60.29
Sensor_77061,63.38
Sensor_18770,17.07
Sensor_35497,43.27
Sensor_19774,68.05
Sensor_06007,59.18
Sensor_12094,84.6
Sensor_30548,43.63
Sensor_80131,33.16
Sensor_52792,47.59
Sensor_42112,66.77
Sensor_51867,41.45
Sensor_53891,29.85
Sensor_57562,85.36
Sensor_60567,61.91
Sensor_65275,15.61
Sensor_81167,66.83
Sensor_38598,74.86
Sensor_06589,43.51
Sensor_06156,18.24
Sensor_18826,89.75
Sensor_58916,57.9
Sensor_24857,82.32
Sensor_30570,63.36
Sensor_00750,24.95
Sensor_16948,66.87
Sensor_39966,81.3
Sensor_88064,35.37
Sensor_67994,37.73
Sensor_36461,27.66
Sensor_17227,21.19
Sensor_80311,54.82
Sensor_88608,14.55
Sensor_03837,78.56
Sensor_29354,72.95
Sensor_21173,13.37
Sensor_33942,89.78
Sensor_34998,49.37
Sensor_88144,33.29
Sensor_11542,14.15
Sensor_77794,13.9
Sensor_09718,16.57
Sensor_53625,19.22
Sensor_39529,80.58
Sensor_08291,58.25
Sensor_31008,19.26
Sensor_15149,12.64
Sensor_48054,72.99
Sensor_02407,77.42
Sensor_50441,14.93
Sensor_81881,78.66
Sensor_34957,84.15
Sensor_34149,37.03
Sensor_69729,75.13
Sensor_88293,28.53
Sensor_62040,62.88
Sensor_08393,75.18
Sensor_52154,42.65
Sensor_74046,37.79
Sensor_68584,24.55
Sensor_75473,55.25
Sensor_35761,70.2
Sensor_35562,51.22
Sensor_47981,34.97
Sensor_19328,12.62
Sensor_44293,23.18
Sensor_42148,76.97
Sensor_63422,39.03
Sensor_16878,47.88
Sensor_10481,71.08
Sensor_68310,37.95
Sensor_45083,33.21
Sensor_52431,34.92
Sensor_88987,19.05
Sensor_39800,50.58
Sensor_20075,81.46
Sensor_30165,14.94
Sensor_20248,30.06
Sensor_46635,63.43
Sensor_20658,46.81
Sensor_83994,84.97
Sensor_03658,31.28
Sensor_51139,49.7
Sensor_42645,61.77
Sensor_56729,81.51
Sensor_10399,49.23
Sensor_14809,78.84
Sensor_20422,42.83
Sensor_88990,51.07
Sensor_07749,21.54
Sensor_33692,69.61
Sensor_14138,53.71
Sensor_61145,59.29
Sensor_13957,28.39
Sensor_85641,29.48
Sensor_59787,60.88
Sensor_74572,15.46
Sensor_21216,38.07
Sensor_25460,22.29
